"Advertiser name",Category,Manufacturer,"Product code","Product name","Product description","Product affiliate link","Product picture","Price without VAT","Price with VAT","Price with discount, with VAT","Price with discount, without VAT",Currency,"Free shipping","Gift included"
revita.bg,Начало,"Bio Planet","648703 BIO PLANET","Конопено масло (студено пресовано), БИО, 250 ml","БИО конопено масло, студено пресовано и нерафинирано, с 90% ненаситени мастни киселини. Заменянето на наситените мазнини с ненаситени допринася за нормални нива на холестерол в кръвта. Добавя се само студено – към салати, дипове, сосове и варени зеленчуци. ...",//profitshare.bg/lps/ZOn/Zw/?redirect=https%3A%2F%2Frevita.bg%2F2%2Fkonopeno-maslo-studeno-presovano-bio-250-ml,http://revita.bg/img/p/1/7/7/5/0/17750.jpg,13.78,13.78,,,EUR,0,0
revita.bg,Начало,"Les sauniers de lile de Re","100064 LSAUN","Флер дьо сел – морска сол от Ил дьо Ре (PVC кофичка), 1 kg","Този нерафиниран флер дьо сел идва от вековните солници на френския остров Ил дьо Ре. Ръчно събраните кристали са богати на естествени минерали и придават деликатен вкус на ястията. Кофичката от 1 килограм е подходяща за ресторанти и за ценители, които готвят всеки ...",//profitshare.bg/lps/ZOn/Zw/?redirect=https%3A%2F%2Frevita.bg%2F2%2Ffler-dyo-sel-morska-sol-ot-il-dyo-re-pvc-kofichka-1-kg,http://revita.bg/img/p/1/8/0/8/8/18088.jpg,39.76,39.76,,,EUR,0,0
revita.bg,Начало,"Les sauniers de lile de Re","050017 LSAUN","Флер дьо сел – морска сол от Ил дьо Ре, 500 g","Флер дьо сел е най-фината реколта от атлантическите солници на остров Ил дьо Ре. Всяка люспа се събира на ръка, без изсушаване и рафиниране. Голямата опаковка е удобна за домакинства, които често готвят и подправят с качествена сол",//profitshare.bg/lps/ZOn/Zw/?redirect=https%3A%2F%2Frevita.bg%2F2%2Ffler-dyo-sel-morska-sol-ot-il-dyo-re-500-g,http://revita.bg/img/p/1/8/0/8/4/18084.jpg,19.03,19.03,,,EUR,0,0
revita.bg,Начало,"Les sauniers de lile de Re","040033 LSAUN","Едра сива морска сол от Ил дьо Ре (стъклен буркан), 400 g","Едрата сива морска сол се загребва от глинестото дъно на солниците на остров Ил дьо Ре. Естествената глина ѝ придава сивия цвят и богатия минерален състав, запазен без рафиниране. Едрите кристали са идеални за осоляване на вода за паста, варива и зеленчуци",//profitshare.bg/lps/ZOn/Zw/?redirect=https%3A%2F%2Frevita.bg%2F2%2Fedra-siva-morska-sol-ot-il-dyo-re-staklen-burkan-400-g,http://revita.bg/img/p/1/8/0/8/2/18082.jpg,20.76,20.76,,,EUR,0,0
revita.bg,Начало,"Les sauniers de lile de Re","018017 LSAUN","Флер дьо сел – морска сол от Ил дьо Ре (стъклен буркан), 180 g","Флер дьо сел от Ил дьо Ре кристализира естествено на повърхността на солената вода. Соларите го загребват на ръка с традиционни техники, познати на острова от 12 век. Стъкленият буркан запазва аромата и позволява кристалите да се поръсват направо върху ястието",//profitshare.bg/lps/ZOn/Zw/?redirect=https%3A%2F%2Frevita.bg%2F2%2Ffler-dyo-sel-morska-sol-ot-il-dyo-re-staklen-burkan-180-g,http://revita.bg/img/p/1/8/0/7/9/18079.jpg,22.6,22.6,,,EUR,0,0
revita.bg,Начало,Zuccari,"620029 (62002) ZUCCARI","Мелатонин с валериана и лавандула – При безсъние, 1 mg, 30 таблетки за смучене","Мелатонинът съкращава времето за заспиване и настройва естествения ритъм сън–бодърстване. Коренът от валериана и лавандулата успокояват нервното напрежение и подготвят тялото за сън. Витамин B6 подпомага нормалната функция на нервната система",//profitshare.bg/lps/ZOn/Zw/?redirect=https%3A%2F%2Frevita.bg%2F2%2Fmelatonin-s-valeriana-i-lavandula-pri-bezsanie-1-mg-30-tabletki-za-smuchene,http://revita.bg/img/p/1/8/0/4/8/18048.jpg,14.18,14.18,,,EUR,0,0
revita.bg,Начало,Zuccari,"620005 (62000) ZUCCARI","Етерично масло от европейски бор за напитки и десерти, 10 ml","Чистото етерично масло от европейски бор придава топъл смолист планински аромат на напитки и ястия. Няколко капки ароматизират чай, вода, десерти или бучка захар. Продуктът е концентриран и се използва разреден",//profitshare.bg/lps/ZOn/Zw/?redirect=https%3A%2F%2Frevita.bg%2F2%2Feterichno-maslo-ot-evropejski-bor-za-napitki-i-deserti-10-ml,http://revita.bg/img/p/1/8/0/4/7/18047.jpg,14.18,14.18,,,EUR,0,0
revita.bg,Начало,Zuccari,"802364 (80236) ZUCCARI","AloeCyst – При инфекции на пикочните пътища, 15 сашета х 10 ml","Червената боровинка и D-манозата пречат на бактериите да се прикрепят към стените на пикочните пътища. Мечото грозде действа антисептично, а алое вера успокоява раздразнената лигавица. Подходящ при склонност към чести уринарни инфекции (цистит)",//profitshare.bg/lps/ZOn/Zw/?redirect=https%3A%2F%2Frevita.bg%2F2%2Faloecyst-pri-infekcii-na-pikochnite-patissha-15-sasheta-kh-10-ml,http://revita.bg/img/p/1/8/0/7/2/18072.jpg,14.18,14.18,,,EUR,0,0
revita.bg,Начало,Zuccari,"900176 (90017) ZUCCARI","Диосмин, хесперидин и рутин – При тежест в краката и разширени вени, 30 таблетки","Диосминът и хесперидинът укрепват стените на кръвоносните съдове и намаляват тяхната пропускливост. Рутинът и червената лоза тонизират вените и подпомагат микроциркулацията. Подходящи при тежест в краката, разширени вени, хемороиди и склонност към отоци",//profitshare.bg/lps/ZOn/Zw/?redirect=https%3A%2F%2Frevita.bg%2F2%2Fdiosmin-khesperidin-i-rutin-pri-tezhest-v-krakata-i-razshireni-veni-30-tabletki,http://revita.bg/img/p/1/8/0/7/1/18071.jpg,14.18,14.18,,,EUR,0,0
revita.bg,Начало,Zuccari,"803002 (80300) ZUCCARI","Алое арборесценс с мед – Детокс и храносмилане, 500 ml","Сокът от цели листа на алое арборесценс подпомага пречистващите функции и доброто състояние на храносмилането. Пчелният мед подхранва и смекчава действието на растението. Приема се сутрин на празен стомах, чист или разреден в напитка",//profitshare.bg/lps/ZOn/Zw/?redirect=https%3A%2F%2Frevita.bg%2F2%2Faloe-arborescens-s-med-detoks-i-khranosmilane-500-ml,http://revita.bg/img/p/1/8/0/6/9/18069.jpg,39.7,39.7,,,EUR,0,0
revita.bg,Начало,Zuccari,"802401 (80240) ZUCCARI","Интимен измиващ гел с алое вера за жени, 250 ml","Деликатната формула почиства интимната зона и зачита нейния естествен pH баланс. Алое вера, невенът и лавандулата успокояват и предпазват чувствителната кожа. Подходящ за ежедневна интимна хигиена. Гинекологично тестван",//profitshare.bg/lps/ZOn/Zw/?redirect=https%3A%2F%2Frevita.bg%2F2%2Fintimen-izmivassh-gel-s-aloe-vera-za-zheni-250-ml,http://revita.bg/img/p/1/8/0/6/8/18068.jpg,11.34,11.34,,,EUR,0,0
revita.bg,Начало,Zuccari,"802142 (80214) ZUCCARI","Интимен измиващ гел с алое вера за цялото семейство, 250 ml","Ултраделикатната формула нежно почиства интимната зона, без да нарушава естествения ѝ баланс. Алое вера и пробиотичните култури поддържат защитната микрофлора. Пребиотиците подхранват полезните бактерии и предпазват от раздразнения",//profitshare.bg/lps/ZOn/Zw/?redirect=https%3A%2F%2Frevita.bg%2F2%2Fintimen-izmivassh-gel-s-aloe-vera-za-cyaloto-semejstvo-250-ml,http://revita.bg/img/p/1/8/0/6/5/18065.jpg,11.06,11.06,,,EUR,0,0
