Advertiser name,Category,Manufacturer,Product code,Product name,Product description,Product affiliate link,Product picture,Price without VAT,Price with VAT,"Price with discount, with VAT","Price with discount, without VAT",Currency,Free shipping,Gift included
revita.bg,Начало,2M Pharma,712774 (OXMUL) 2M,"Озонирано маслиново масло 600 PI – за кожа - Грижа при възпаление и инфекции, 5 монодози",Има силна антимикробна активност. Отличен избор за грижа за кожата и лигавиците след остра фаза на инфекция. Подпомага обновяването на епидермиса и може да предотврати появата на белези и келоиди. Комбинира омекотяващото и успокояващо действие на зехтина с ...,//profitshare.bg/lps/ZOn/Zw/?redirect=https%3A%2F%2Frevita.bg%2F2%2Fozonirano-maslinovo-maslo-600-pi-za-zdravi-kletki-i-antioksidantna-zasshita-5-monodozi,http://revita.bg/img/p/1/3/4/9/0/13490.jpg,16.63,16.63,,,EUR,0,0
revita.bg,Начало,2M Pharma,992130 (OXYREP1200) 2M,"Хиперозонирано маслиново масло 1200 PI – за кожата - Интензивна грижа при възпаление и инфекции, 5 монодози","Най-мощният продукт от медицинската серия OxxyO3 Derma Rescue, предназначена за кожна регенерация. Представлява мощно противовъзпалително, антимикробно и дезинфекциращо средство за възстановяване на силно увредени тъкани. Подпомага синтеза на колаген, осигурява ...",//profitshare.bg/lps/ZOn/Zw/?redirect=https%3A%2F%2Frevita.bg%2F2%2Fozonirano-maslinovo-maslo-1200-pi-za-intenzivna-kletachna-regeneraciya-5-monodozi,http://revita.bg/img/p/1/3/4/9/3/13493.jpg,19.98,19.98,,,EUR,0,0
revita.bg,Начало,2M Pharma,712941 (OXOREP) 2M,"Озонирано маслиново масло 1200 PI - за жабурене - Защита от инфекции и свеж дъх, 15 монодози","Озониран препарат за дезинфекция и освежаване на устната кухина. Прилага се чрез техниката на жабурене и има мощно антимикробно, антисептично и противовъзпалително действие. Предназначен е за профилактика и подпомагаща терапия на гъбични инфекции, налепи по ...",//profitshare.bg/lps/ZOn/Zw/?redirect=https%3A%2F%2Frevita.bg%2F2%2Fozonirano-maslo-1200-pi-za-zdrava-ustna-kukhina-15-monodozi,http://revita.bg/img/p/1/6/0/5/1/16051.jpg,41.47,41.47,,,EUR,0,0
revita.bg,Начало,2M Pharma,712958 (OXBOOL100) 2M,"Озонирано маслиново масло + вит. Е и масло от чаено дърво, Спрей за тяло, 100 ml","Подходящ за всички типове кожа, този продукт е идеално допълнение към рутинната грижа. Нанася се лесно и има лека, бързо попиваща текстура, която не оставя мазни или лепкави следи. Стимулира обновяването на кожните клетки и поддържа мекотата и еластичността ...",//profitshare.bg/lps/ZOn/Zw/?redirect=https%3A%2F%2Frevita.bg%2F2%2Fozonirano-maslo-za-tyalo-s-vitamin-e-i-chaeno-darvo-100-ml,http://revita.bg/img/p/1/3/4/9/2/13492.jpg,27.42,27.42,,,EUR,0,0
revita.bg,Начало,2M Pharma,614418 (OXSAB100) 2M,"Сапун за лице и тяло с озонирано маслиново масло - Дълбоко почистване без изсушаващ ефект, 100 g","Нежен сапун, който не изсушава и не дразни кожата. Идеален при сухота и прекомерна чувствителност и реактивност. Има силно антимикробно действие и ефективно премахва замърсяванията, без да предизвиква зачервявания и дискомфорт. Подходящ и при дерматит, екзема ...",//profitshare.bg/lps/ZOn/Zw/?redirect=https%3A%2F%2Frevita.bg%2F2%2Fozoniran-sapun-jabon-za-chista-i-zdrava-kozha-100-g,http://revita.bg/img/p/1/3/4/7/9/13479.jpg,17.31,17.31,,,EUR,0,0
revita.bg,Начало,2M Pharma,712286 (OXAMP) 2M,"Антиоксидант с озонирани растителни масла и цинк, 30 ампули за пиене","Oxxy O3 съчетава мощта на озонирани масла и активни антиоксиданти за подпомагане на имунната система и неутрализиране на оксидативния стрес. В удобни ампули за пиене, тази формула поддържа енергията и клетъчното здраве всеки ден",//profitshare.bg/lps/ZOn/Zw/?redirect=https%3A%2F%2Frevita.bg%2F2%2Foxxy-o3-ozonirana-antioksidanta-zasshita-i-kletachna-energiya-30-ampuli-za-piene,http://revita.bg/img/p/1/3/4/8/0/13480.jpg,57.45,57.45,,,EUR,0,0
revita.bg,Начало,2M Pharma,712293 (OXCAP) 2M,"Антиоксидант с озонирани растителни масла и цинк, 30 капсули",Oxxy O3 в капсулна форма предлага мощна комбинация от озонирани масла и антиоксиданти за подпомагане на имунната система и защита от свободни радикали. Поддържа естествената жизненост и благоприятства баланса в организма,//profitshare.bg/lps/ZOn/Zw/?redirect=https%3A%2F%2Frevita.bg%2F2%2Foxxy-o3-ozonirana-antioksidantna-formula-za-kletachna-zasshita-i-zhiznenost-30-kapsuli,http://revita.bg/img/p/1/3/4/8/1/13481.jpg,55.63,55.63,,,EUR,0,0
revita.bg,Начало,2M Pharma,712309 (OXOLB) 2M,"Озонирано маслиново масло 800 PI – за кожата - Грижа при възпаление и инфекции, 50 ml","Има бактерицидни, антисептични и регенеративни свойства. Подобрява баланса на хидролипидния слой на епидермиса, подобрява насищането на кожните клетки с кислород и възстановява увредените кожни участъци при обриви, гъбични и бактериални инфекции, акне ...",//profitshare.bg/lps/ZOn/Zw/?redirect=https%3A%2F%2Frevita.bg%2F2%2Fozonirano-maslinovo-maslo-za-zdrava-i-balansirana-kozha-800-pi-50-ml,http://revita.bg/img/p/1/3/4/8/2/13482.jpg,32.05,32.05,,,EUR,0,0
revita.bg,Начало,2M Pharma,712323 (OXGAST) 2M,"Gastro – билкова формула за спокоен стомах, 250 ml","Течна билкова формула за възстановяване на храносмилателния комфорт. Комбинира екстракти от зелен анасон, целина, исоп и други растения, които укрепват лигавиците на стомаха и червата, подобряват перисталтиката и намаляват газовете и подуването. Особено ...",//profitshare.bg/lps/ZOn/Zw/?redirect=https%3A%2F%2Frevita.bg%2F2%2Fgastro-za-spokoen-stomakh-i-optimalno-khranosmilane-250-ml,http://revita.bg/img/p/1/3/4/8/3/13483.jpg,34.87,34.87,,,EUR,0,0
revita.bg,Начало,2M Pharma,712330 (OXSPRY) 2M,"Спрей за гърло с озонирано слънчогледово масло, прополис и билки - При кашлица, сухота, дразнене и лош дъх 30 ml","Нежна грижа за устната кухина, горните дихателни пътища и гласните струни с Oxxy Spray! Продуктът съдържа озонирано слънчогледово масло, пчелен мед, прополис и билкови екстракти – специална комбинация от съставки с противовъзпалително, антисептично и подсилващо ...",//profitshare.bg/lps/ZOn/Zw/?redirect=https%3A%2F%2Frevita.bg%2F2%2Fozoniran-sprej-za-garlo-pri-draznene-i-sukhota-30-ml,http://revita.bg/img/p/1/3/4/8/4/13484.jpg,25.31,25.31,,,EUR,0,0
revita.bg,Начало,2M Pharma,712538 (OXOZSHA) 2M,"Шампоан за коса с озонирано маслиново масло и билки - При косопад и раздразнения по скалпа, 200 ml","Специална комбинация от съставки за намаляване загубата на коса, стимулиране растежа на косъма и успокояване кожата на скалпа при инфекции и възпаления. Съчетава озонирано маслиново масло, екстракт от невен и масло от чаено дърво, които имат подхранващо ...",//profitshare.bg/lps/ZOn/Zw/?redirect=https%3A%2F%2Frevita.bg%2F2%2Fozoniran-shampoan-za-zdrava-i-blestyassha-kosa-200-ml,http://revita.bg/img/p/1/3/4/8/6/13486.jpg,35.25,35.25,,,EUR,0,0
revita.bg,Начало,2M Pharma,712521 (OXOZCR) 2M,"Крем с озонирано маслиново масло и хиалуронова киселина - Антиейджинг грижа за лице, 50 ml","Силно подхранващ и регенериращ крем за лице с озонирано маслиново масло, хиалуронова киселина, витамин Е, пантенол и пчелен мед. Омекотява и възстановява свежестта и сияйния тен. Подходящ при уморена и интензивно старееща кожа. Много полезен за предотвратяване и ...",//profitshare.bg/lps/ZOn/Zw/?redirect=https%3A%2F%2Frevita.bg%2F2%2Fozoniran-krem-za-siyajna-i-zasshitena-kozha-na-liceto-50-ml,http://revita.bg/img/p/1/3/4/8/5/13485.jpg,36.74,36.74,,,EUR,0,0
revita.bg,Начало,2M Pharma,712552 (OXDENT) 2M,"Паста за зъби с озонирано маслиново масло и прополис - За свеж дъх и защита от плака и кариеси, 100 ml","Паста за зъби със силно антимикробно и противовъзпалително действие. Потиска растежа на болестотворни микроорганизми в устната кухина, намалява риска от инфекциозни заболявания на зъбите, укрепва венците и заздравява емайла и дентина. Най-добър ефект се постига ...",//profitshare.bg/lps/ZOn/Zw/?redirect=https%3A%2F%2Frevita.bg%2F2%2Fozonirana-pasta-za-zabi-za-svezh-dakh-i-zdrava-usmivka-100-ml,http://revita.bg/img/p/1/3/4/8/8/13488.jpg,26.72,26.72,,,EUR,0,0
